Mine Name,CAAQMS_Source_Name,CAAQMS_Match_Type,Environmental_Anomaly,Environmental_Risk_Score,Environmental_Min_Anomaly_Score,Environmental_Anomaly_Count,Environmental_Observations,Environmental_Anomaly_Rate,Environmental_Available,Production_Source_Name,Production_Match_Type,Operational_ZScore,Operational_Absolute_ZScore,Operational_Anomaly,Operational_Anomaly_Category,Operational_Anomaly_Reason,Operational_Change,Data_Sufficient,Operational_Available,Evidence_Count,Evidence_Coverage,Evidence_Status,Safety_Evidence_Available,Safety_Evidence_Status
Piparia,,,,,,,,,0,Piparia,Contextual_Fuzzy,-0.2275437504036369,0.2275437504036369,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.03,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Porascol East Colliery,,,,,,,,,0,Porascol East Colliery,Contextual_Fuzzy,-0.2082716778163627,0.2082716778163627,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0099999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Porascol West Colliery,,,,,,,,,0,Porascol West Colliery,Contextual_Fuzzy,-0.2082716778163628,0.2082716778163628,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.01,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Prakasham Khani OC,,,,,,,,,0,Prakasham Khani OC,Contextual_Fuzzy,0.4758868990318672,0.4758868990318672,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.6999999999999993,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Pundi,,,,,,,,,0,Pundi,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Pure Searsole Colliery,,,,,,,,,0,Pure Searsole Colliery,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Purnadih,,,,,,,,,0,Purnadih,Contextual_Fuzzy,-0.3335401496336445,0.3335401496336445,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.14,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Rajendra,,,,,,,,,0,Rajendra,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Rajhara,,,,,,,,,0,Rajhara,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Rajmahal OCP,,,,,,,,,0,Rajmahal OCP,Contextual_Fuzzy,6.228600566333189,6.228600566333189,1.0,Highly Unusual,Production increased by 6.67 MT compared with the previous year; the change is statistically unusual (Z-score: 6.23).,6.670000000000001,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Rajnagar RO,,,,,,,,,0,Rajnagar RO,Contextual_Fuzzy,-0.256451859284548,0.256451859284548,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.06,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Rajpura,,,,,,,,,0,Rajpura,Contextual_Fuzzy,-0.1889996052290888,0.1889996052290888,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0099999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Rajrappa Project,,,,,,,,,0,Rajrappa Project,Contextual_Fuzzy,-0.2275437504036369,0.2275437504036369,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.03,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Rajur UG,,,,,,,,,0,Rajur UG,Contextual_Fuzzy,-0.1889996052290888,0.1889996052290888,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0099999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Ramagundam OC-I Extn. Ph-II,,,,,,,,,0,Ramagundam OC-I Extn. Ph-II,Contextual_Fuzzy,0.1868058102227566,0.1868058102227566,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.4000000000000003,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Ramagundam-OC 3 & OC III,,,,,,,,,0,Ramagundam-OC 3 & OC III,Contextual_Fuzzy,1.0925932218246392,1.0925932218246392,0.0,Normal,Latest production change is within the normal range of observed production changes.,1.34,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Ramakrishnapur OC,,,,,,,,,0,Ramakrishnapur OC,Contextual_Fuzzy,-0.2082716778163625,0.2082716778163625,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0099999999999997,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Ramnagar Colliery,,,,,,,,,0,,,,,,,,,,0,0,0.0,Insufficient Evidence,0,Mine-level safety evidence unavailable
Rampur Batura,,,,,,,,,0,Rampur Batura,Contextual_Fuzzy,0.9287806048328092,0.9287806048328092,0.0,Normal,Latest production change is within the normal range of observed production changes.,1.17,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Raniatari,,,,,,,,,0,Raniatari,Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Ravindra Khani-5 Incline,,,,,,,,,0,Ravindra Khani-5 Incline,Contextual_Fuzzy,-0.2179077141099998,0.2179077141099998,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0199999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
Ravindra Khani-6 Incline,,,,,,,,,0,Ravindra Khani-6 Incline,Contextual_Fuzzy,-0.2082716778163627,0.2082716778163627,0.0,Normal,Latest production change is within the normal range of observed production changes.,-0.0099999999999999,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
"Ravindra Khani-7,Incline",,,,,,,,,0,"Ravindra Khani-7,Incline",Contextual_Fuzzy,-0.1986356415227257,0.1986356415227257,0.0,Normal,Latest production change is within the normal range of observed production changes.,0.0,True,1,1,50.0,Operational Only,0,Mine-level safety evidence unavailable
