Mine Name,Overall_Risk_Score,Risk_Category,Confidence_Score,Confidence_Category,Evidence_Coverage,Evidence_Status,Inspection_Priority,Priority_Score,Priority_Reason,AI_Recommendation
Dakra Bukbuka OC,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Dalurband OC,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Damini,5.20679194540907,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.20679194540907,Low risk indicator (risk score 5.21); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Damoda,4.002287408704437,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.002287408704437,Low risk indicator (risk score 4.00); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Dhankasa & Jamunia,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Dhanpuri,14.36102642436427,LOW,60.0,Moderate,50.0,Operational Only,LOW,14.36102642436427,Low risk indicator (risk score 14.36); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Dhelwadih Colliery,4.7249901307272175,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.7249901307272175,Low risk indicator (risk score 4.72); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Dhemomain Incl Colliery,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Dhemomain Pit Colliery,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Dhoptala OC (Sasti Colliery),18.642397881342635,LOW,60.0,Moderate,50.0,Operational Only,LOW,18.642397881342635,Low risk indicator (risk score 18.64); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Dhori Khas(UG),4.7249901307272175,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.7249901307272175,Low risk indicator (risk score 4.72); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Dipka,26.366646200608315,LOW,100.0,High,100.0,Environmental + Operational,LOW,26.366646200608315,Low risk indicator (risk score 26.37); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Dubeswari Colliery,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Dudhichua Project,42.49158770809432,MEDIUM,60.0,Moderate,50.0,Operational Only,MEDIUM,42.49158770809432,Moderate risk indicator detected (risk score 42.49). Monitoring and review recommended.,Monitoring and Review Required
Dulanga Coal Mining Project,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Durgapur Open Cast,13.583478827183182,LOW,60.0,Moderate,50.0,Operational Only,LOW,13.583478827183182,Low risk indicator (risk score 13.58); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
Durgapur Rayatwari Colly,4.965891038068143,LOW,60.0,Moderate,50.0,Operational Only,LOW,4.965891038068143,Low risk indicator (risk score 4.97); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
DVC Tubed Mines,30.928344155729874,MEDIUM,60.0,Moderate,50.0,Operational Only,LOW,30.928344155729874,Low risk indicator (risk score 30.93); no immediate high-risk indicator detected.,Monitoring and Review Required
E.Basuria,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
Ena,5.874649792273543,LOW,60.0,Moderate,50.0,Operational Only,LOW,5.874649792273543,Low risk indicator (risk score 5.87); no immediate high-risk indicator detected.,No Immediate High-Risk Indicator Detected
G & G B Coal Mine,38.396272283298586,MEDIUM,60.0,Moderate,50.0,Operational Only,LOW,38.396272283298586,Low risk indicator (risk score 38.40); no immediate high-risk indicator detected.,Monitoring and Review Required
Gare Palma IV 6,,Insufficient Evidence,0.0,Insufficient Evidence,0.0,Insufficient Evidence,INSUFFICIENT EVIDENCE,,Insufficient evidence available to determine inspection priority.,Insufficient Evidence for Risk Assessment
