Company Name,Area Name,Mine Name,Creation datetime,Record time,PM - 2.5 (µg/m3),PM - 10 (µg/m3),SO2 (µg/m3),NO2  (µg/m3),CO (mg/m3),Device ID,Created by,Date
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 22:03:00,2026-08-30 16:33:00,15.16,15.61,41.59,,0.39,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 22:03:00,2026-08-30 16:33:00,14.9,15.18,37.28,,0.38,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 22:02:00,2026-08-30 16:32:00,14.61,14.88,37.24,,0.24,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 22:02:00,2026-08-30 16:32:00,14.38,14.7,32.14,,0.31,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 22:01:00,2026-08-30 16:31:00,14.11,14.61,37.37,,0.25,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 22:01:00,2026-08-30 16:31:00,14.04,14.44,31.17,,0.33,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,"Bilaspur, CHHATTISGARHr",South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 22:00:00,2026-08-30 16:29:00,3.82,,19.25,255.52,0.24,site_5592,Swan Environ,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 22:00:00,2026-08-30 16:30:00,13.94,14.09,36.81,,0.23,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:59:00,2026-08-30 16:29:00,13.71,13.54,37.34,,0.17,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
South Eastern Coalfields Limited,Dipka Area,M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 21:59:00,2026-08-30 16:29:00,13.49,13.43,36.71,,0.36,site_5664,Thermo Fisher Scientific India Private Limited,2026-08-30
