Mine ID,Mine Name,Company Name,State,District,Coalfield,Area,Mine Type,Ownership,Production,Despatch
DHEMOMAIN_PIT_COLLIERY,Dhemomain Pit Colliery,ECL,West Bengal,Bardhaman,Raniganj,Sodepur,Underground,PUBLIC,0.025,0
DHOPTALA_OC_SASTI_COLLIERY,Dhoptala OC (Sasti Colliery),WCL,Maharashtra,CHANDRAPUR,Wardha,Ballarpur,Opencast,PUBLIC,1.681,0
DHORI_KHAS_UG,Dhori Khas(UG),CCL,Jharkhand,BOKARO,E. Bokaro,Dhori Area,Underground,PUBLIC,0.136,0
DIPKA,Dipka,SECL,Chhattisgarh,KORBA,Central India,Dipka,Opencast,PUBLIC,33.417,0
DUBESWARI_COLLIERY,Dubeswari Colliery,ECL,West Bengal,PURULIA,Raniganj,Sodepur,Underground,PUBLIC,0.052,0
DUDHICHUA_PROJECT,Dudhichua Project,NCL,Uttar Pradesh,SONBHADRA,Singrauli,Dudhichua,Opencast,PUBLIC,9.272,0
DULANGA_COAL_MINING_PROJECT,Dulanga Coal Mining Project,NTPC,Odisha,SUNDARGARH,IB Vlley,Dulanga,Opencast,PUBLIC,7.0,0
DURGAPUR_OPEN_CAST,Durgapur Open Cast,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,Opencast,PUBLIC,2.5,0
DURGAPUR_RAYATWARI_COLLY,Durgapur Rayatwari Colly,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,Underground,PUBLIC,0.1,0
DVC_TUBED_MINES,DVC Tubed Mines,DVC,Jharkhand,LATEHAR,Auranga,DVC Tubed,Opencast,PUBLIC,1.52,0
E_BASURIA,E.Basuria,BCCL,Jharkhand,DHANBAD,Jharia,Kusunda,Opencast,PUBLIC,0.142,0
ENA,Ena,BCCL,Jharkhand,DHANBAD,Jharia,Kusunda,Opencast,PUBLIC,2.998,0
G_G_B_COAL_MINE,G & G B Coal Mine,WBPDCL,West Bengal,BIRBHUM,Raniganj,Gangaramchak,Opencast,PUBLIC,3.0,0
GARE_PALMA_IV_6,Gare Palma IV 6,JSPL,Chhattisgarh,RAIGARH,Mand-Raigarh,Raigarh,Opencast,PRIVATE,1.803,0
GARE_PALMA_IV_2_3,Gare Palma IV-2&3,BALCO,Chhattisgarh,KORBA,Hasdeo-Arand,Korba,Opencast,PRIVATE,1.0,0
GARE_PALMA_IV_1,Gare Palma IV/1,JPL,Chhattisgarh,RAIGARH,Mand Raigarh,Gare Palma,Opencast,PRIVATE,7.195,0
GARE_PALMA_IV_2_3,Gare Palma IV/2&3,JPL,Chhattisgarh,RAIGARH,Mand- Raigarh,Gare Palma,Opencast,PRIVATE,0.712,0
GARE_PALMA_IV_2_3,Gare Palma IV/2&3,SECL,Chhattisgarh,RAIGARH,Central India,Raigarh,Opencast,PUBLIC,0.16,0
GARE_PALMA_IV_7,Gare Palma IV/7,SEML,Chhattisgarh,RAIGARH,Mand Raigarh,Tamnar Tehsil,Opencast,PRIVATE,1.44,0
GARE_PALMA_SECTOR_III,Gare Palma Sector III,CSPGCL,Chhattisgarh,RAIGARH,Mand Raigarh,Raigarh,Opencast,PUBLIC,4.003,0
GARJANBAHAL_OCP,Garjanbahal OCP,MCL,Odisha,SUNDARGARH,IB Valley,Basundhara,Opencast,PUBLIC,18.2,0
GAYATRI,Gayatri,SECL,Chhattisgarh,SURGUJA,Central India,Bisrampur,Underground,PUBLIC,0.579,0
GEVRA,Gevra,SECL,Chhattisgarh,KORBA,Central India,Gevra,Opencast,PUBLIC,59.107,0
GHONSA,"Ghonsa,",WCL,Maharashtra,YAVATMAL,Wardha Valley,Wani North,Opencast,PUBLIC,0.6,0
GIDI_A,Gidi `A',CCL,Jharkhand,HAZARIBAGH,S.K.Coalfields,Argada,Opencast,PUBLIC,0.494,0
