Source,Source_Mine_Name,Source_Company,Source_State,Master_Mine_Name,Master_Company,Master_State,Master_District,Master_Coalfield,Master_Area,Master_Mine_Type,Master_Ownership,Match_Type,Match_Score,Score_Gap,Review_Required,Mapping_Status
Production,Kanchan OC,SECL,Madhya Pradesh,Kanchan OC,SECL,Madhya Pradesh,UMARIA,Central India,Johilla,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.3733,Yes,Matched_Review
Production,Kaniha OCP,MCL,Odisha,Kaniha OCP,MCL,Odisha,Angul,Talcher,Kaniha,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.3127,Yes,Matched_Review
Production,Kankanee,BCCL,Jharkhand,Kankanee,BCCL,Jharkhand,DHANBAD,Jharia,Sijua,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.42,Yes,Matched_Review
Production,Kapasara,ECL,Jharkhand,Kapasara,ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.5133,Yes,Matched_Review
Production,Kapildhara,SECL,Madhya Pradesh,,,,,,,,,Unmatched,0.6087,0.0617,Yes,Unmatched
Production,Kargali OC,CCL,Jharkhand,Kargali OC,CCL,Jharkhand,BOKARO,E. Bokaro,B & K Area,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.3205,Yes,Matched_Review
Production,Karkatta,CCL,Jharkhand,,,,,,,,,Unmatched,0.5585,0.0485,Yes,Unmatched
Production,Karma,CCL,Jharkhand,Karma,CCL,Jharkhand,RAMGARH,W.Bokaro,Kuju,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.448,Yes,Matched_Review
Production,Karo SPL UG,CCL,Jharkhand,KARO SPL OC,CCL,Jharkhand,BOKARO,E. Bokaro,B & K Area,Underground,PUBLIC,Possible,0.7836,0.1756,Yes,Matched_Review
Production,Karo-I OC,CCL,Jharkhand,Karo-I OC,CCL,Jharkhand,BOKARO,E. Bokaro,B & K Area,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.224,Yes,Matched_Review
Production,Karo-I UG(Karo Seam),CCL,Jharkhand,,,,,,,,,Unmatched,0.652,0.1373,Yes,Unmatched
Production,Kasipet 1 Incline,SCCL,Telangana,Kasipet 1 Incline,SCCL,Telangana,MANCHERIAL,Godavari Valley,Mandamari,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.1647,Yes,Matched_Review
Production,Kasipet 2 Incline,SCCL,Telangana,Kasipet 2 Incline,SCCL,Telangana,MANCHERIAL,Godavari Valley,Mandamari,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.1647,Yes,Matched_Review
Production,Kathara Colly.,CCL,Jharkhand,Kathara Colly,CCL,Jharkhand,BOKARO,E. Bokaro,Kathara,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.3967,Yes,Matched_Review
Production,Kathautia Open Cast Coal Mine,HIL,Jharkhand,Kathautia Open Cast Coal Mine,HIL,Jharkhand,PALAMU,Daltonganj,Kathautia,Opencast,PRIVATE,Contextual_Fuzzy,1.0,0.578,Yes,Matched_Review
Production,Katkona 1 & 2,SECL,Chhattisgarh,Katkona 1 & 2,SECL,Chhattisgarh,KOREA,Central India,Baikunthpur,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.51,Yes,Matched_Review
Production,Katkona 1& 2,SECL,Chhattisgarh,Katkona 1 & 2,SECL,Chhattisgarh,KOREA,Central India,Baikunthpur,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.51,Yes,Matched_Review
Production,Katkona 3 & 4,SECL,Chhattisgarh,,,,,,,,,Unmatched,0.6996,0.2228,Yes,Unmatched
Production,Kedla,CCL,Jharkhand,Kedla (OC),CCL,Jharkhand,RAMGARH,W.Bokaro,Hazaribagh,Opencast,PUBLIC,Possible,0.7631,0.0,Yes,Matched_Review
Production,Kedla (OC),CCL,Jharkhand,Kedla (OC),CCL,Jharkhand,RAMGARH,W.Bokaro,Hazaribagh,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.2917,Yes,Matched_Review
Production,Kedla UG,CCL,Jharkhand,Kedla UG,CCL,Jharkhand,RAMGARH,W.Bokaro,Hazaribagh,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.2917,Yes,Matched_Review
Production,Kenduadih,BCCL,Jharkhand,,,,,,,,,Unmatched,0.51,0.0,Yes,Unmatched
Production,Kerandari Coal field,NTPC_KD,Jharkhand,Kerandari,NTPC,Jharkhand,HAZARIBAGH,North Karanpura,Keredari,Opencast,PUBLIC,Contextual_Fuzzy,0.9273,0.5174,Yes,Matched_Review
Production,Ketki,SECL,Chhattisgarh,Ketki,SECL,Chhattisgarh,SURGUJA,Central India,Bisrampur,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.5425,Yes,Matched_Review
Production,Khadia OCP,NCL,Uttar Pradesh,Khadia Project,NCL,Uttar Pradesh,SONBHADRA,Singrauli,Khadia,Opencast,PUBLIC,Possible,0.755,0.0929,Yes,Matched_Review
Production,Khadia Project,NCL,Uttar Pradesh,Khadia Project,NCL,Uttar Pradesh,SONBHADRA,Singrauli,Khadia,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.5176,Yes,Matched_Review
Production,Khairagura OC,SCCL,Telangana,Khairagura OC,SCCL,Telangana,Komaram Bheem,Godavari Valley,Belampalli,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.3379,Yes,Matched_Review
Production,Khairaha,SECL,Madhya Pradesh,Khairaha,SECL,Madhya Pradesh,SHAHDOL,Central India,Sohagpur,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.46,Yes,Matched_Review
Production,Khandra Colliery,ECL,West Bengal,Khandra Colliery,ECL,West Bengal,Bardhaman,Raniganj,Bankola,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.4,Yes,Matched_Review
Production,Kharkharee,BCCL,Jharkhand,Kharkharee,BCCL,Jharkhand,DHANBAD,Jharia,Govindpur,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.42,Yes,Matched_Review
Production,Khas Kajora Colliery,ECL,West Bengal,Khas Kajora Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kajora,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.3379,Yes,Matched_Review
Production,Khasmahal OC,CCL,Jharkhand,,,,,,,,,Unmatched,0.6606,0.035,Yes,Unmatched
Production,Khasmahal UG,CCL,Jharkhand,,,,,,,,,Unmatched,0.6052,0.0019,Yes,Unmatched
Production,Khoodia,ECL,Jharkhand,Khoodia,ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.49,Yes,Matched_Review
Production,Khottadih,ECL,West Bengal,Khottadih UG,ECL,West Bengal,Bardhaman,Raniganj,Pandaveswar,Underground,PUBLIC,Possible,0.8,0.0164,Yes,Matched_Review
Production,Khottadih OCP,ECL,West Bengal,Khottadih OCP,ECL,West Bengal,Bardhaman,Raniganj,Pandaveswar,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.2707,Yes,Matched_Review
Production,Khottadih UG,ECL,West Bengal,Khottadih UG,ECL,West Bengal,Bardhaman,Raniganj,Pandaveswar,Underground,PUBLIC,Contextual_Fuzzy,1.0,0.2707,Yes,Matched_Review
Production,Kistaram OC,SCCL,Telangana,Kistaram OC,SCCL,Telangana,KHAMMAM,Godavari Valley,Kothagudem,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.351,Yes,Matched_Review
Production,"Kolarpimpri,",WCL,Maharashtra,"Kolarpimpri,",WCL,Maharashtra,YAVATMAL,Wardha Valley,Wani North,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.525,Yes,Matched_Review
Production,Kolgaon OC,WCL,Maharashtra,Kolgaon OC,WCL,Maharashtra,YAVATMAL,Wardha,Wani,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.3596,Yes,Matched_Review
Production,Konar OCP,CCL,Jharkhand,,,,,,,,,Unmatched,0.6558,0.0225,Yes,Unmatched
Production,Kondapuram,SCCL,Telangana,Kondapuram UG,SCCL,Telangana,KHAMMAM,Godavari Valley,Manuguru,Underground,PUBLIC,Possible,0.8052,0.3052,Yes,Matched_Review
Production,Korea,SECL,Chhattisgarh,,,,,,,,,Unmatched,0.552,0.084,Yes,Unmatched
Production,Kotma,SECL,Madhya Pradesh,,,,,,,,,Unmatched,0.468,0.0153,Yes,Unmatched
Production,Kotma OC,SECL,Madhya Pradesh,,,,,,,,,Unmatched,0.6558,0.0292,Yes,Unmatched
Production,Kotma West,SECL,Madhya Pradesh,,,,,,,,,Unmatched,0.5546,0.0931,Yes,Unmatched
Production,Koya Gundem OC II,SCCL,Telangana,Koya Gundem OC II,SCCL,Telangana,KHAMMAM,Godavari Valley,Yellandu,Opencast,PUBLIC,Contextual_Fuzzy,1.0,0.3569,Yes,Matched_Review
