Producing Mine,State,Company,Production_2021_22,Production_2022_23,Production_2023_24,Change_2021_22_to_2022_23,Change_2022_23_to_2023_24,Percentage_Change_21_22_to_22_23,Percentage_Change_22_23_to_23_24,Production_Mean,Production_Std,Observation_Count,Zero_Production_Count,Latest_Production_Change,Latest_Percentage_Change,Missing_2021_22,Missing_2022_23,Missing_2023_24,Data_Sufficient
Kedla (OC),Jharkhand,CCL,,0.0,0.0,,0.0,,,0.0,0.0,2,2,0.0,,1,0,0,1
Kedla UG,Jharkhand,CCL,,0.0,,,,,,0.0,,1,1,,,1,0,1,0
Kenduadih,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Kerandari Coal field,Jharkhand,NTPC_KD,,,0.24,,,,,0.24,,1,0,,,1,1,0,0
Ketki,Chhattisgarh,SECL,0.0,0.0,0.03,0.0,0.03,,,0.01,0.01732050807568877,3,2,0.03,,0,0,0,1
Khadia OCP,Uttar Pradesh,NCL,14.0,,,,,,,14.0,,1,0,,,0,1,1,0
Khadia Project,Uttar Pradesh,NCL,,15.0,15.0,,0.0,,0.0,15.0,0.0,2,0,0.0,0.0,1,0,0,1
Khairagura OC,Telangana,SCCL,2.36,2.92,3.75,0.56,0.8300000000000001,23.728813559322038,28.424657534246577,3.01,0.6993568473962345,3,0,0.8300000000000001,28.424657534246577,0,0,0,1
Khairaha,Madhya Pradesh,SECL,0.82,0.88,0.88,0.06000000000000005,0.0,7.317073170731714,0.0,0.86,0.034641016151377574,3,0,0.0,0.0,0,0,0,1
Khandra Colliery,West Bengal,ECL,0.08,0.1,0.09,0.020000000000000004,-0.010000000000000009,25.000000000000007,-10.000000000000009,0.09000000000000001,0.010000000000000002,3,0,-0.010000000000000009,-10.000000000000009,0,0,0,1
Kharkharee,Jharkhand,BCCL,0.0,0.01,0.01,0.01,0.0,,0.0,0.006666666666666667,0.005773502691896258,3,1,0.0,0.0,0,0,0,1
Khas Kajora Colliery,West Bengal,ECL,0.16,0.17,0.14,0.010000000000000009,-0.03,6.250000000000005,-17.64705882352941,0.15666666666666668,0.015275252316519465,3,0,-0.03,-17.64705882352941,0,0,0,1
Khasmahal OC,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Khasmahal UG,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Khoodia,Jharkhand,ECL,0.0,0.0,0.03,0.0,0.03,,,0.01,0.01732050807568877,3,2,0.03,,0,0,0,1
Khottadih,West Bengal,ECL,1.02,,,,,,,1.02,,1,0,,,0,1,1,0
Khottadih OCP,West Bengal,ECL,,0.53,0.44,,-0.09000000000000002,,-16.981132075471702,0.485,0.0636396103067893,2,0,-0.09000000000000002,-16.981132075471702,1,0,0,1
Khottadih UG,West Bengal,ECL,,0.54,0.52,,-0.020000000000000018,,-3.703703703703707,0.53,0.014142135623730963,2,0,-0.020000000000000018,-3.703703703703707,1,0,0,1
Kistaram OC,Telangana,SCCL,2.0,2.0,2.4,0.0,0.3999999999999999,0.0,19.999999999999996,2.1333333333333333,0.23094010767585027,3,0,0.3999999999999999,19.999999999999996,0,0,0,1
"Kolarpimpri,",Maharashtra,WCL,0.51,1.5,1.5,0.99,0.0,194.11764705882354,0.0,1.17,0.5715767664977295,3,0,0.0,0.0,0,0,0,1
Kolgaon OC,Maharashtra,WCL,0.6,0.6,0.6,0.0,0.0,0.0,0.0,0.6,0.0,3,0,0.0,0.0,0,0,0,1
Konar OCP,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Kondapuram,Telangana,SCCL,0.1,0.04,0.14,-0.060000000000000005,0.1,-60.0,250.0,0.09333333333333334,0.05033222956847167,3,0,0.1,250.0,0,0,0,1
Korea,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Kotma,Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Kotma OC,Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Kotma West,Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Koya Gundem OC II,Telangana,SCCL,3.44,3.0,3.0,-0.43999999999999995,0.0,-12.790697674418603,0.0,3.1466666666666665,0.2540341184434353,3,0,0.0,0.0,0,0,0,1
Krishnshila OCP,Uttar Pradesh,NCL,7.0,7.5,7.5,0.5,0.0,7.142857142857142,0.0,7.333333333333333,0.28867513459481287,3,0,0.0,0.0,0,0,0,1
Kujama,Jharkhand,BCCL,0.0,,0.59,,,,,0.295,0.417193000900063,2,1,,,0,1,0,1
Kuju Colliery,Jharkhand,CCL,0.0,0.0,,0.0,,,,0.0,0.0,2,2,,,0,0,1,1
Kulda OCP Balinga,Odisha,MCL,18.5,21.0,21.0,2.5,0.0,13.513513513513514,0.0,20.166666666666668,1.4433756729740643,3,0,0.0,0.0,0,0,0,1
Kumardhubi Colliery,Jharkhand,ECL,0.03,0.02,0.02,-0.009999999999999998,0.0,-33.33333333333333,0.0,0.023333333333333334,0.005773502691896256,3,0,0.0,0.0,0,0,0,1
Kumardihi-A Colliery,West Bengal,ECL,0.08,0.09,0.09,0.009999999999999995,0.0,12.499999999999993,0.0,0.08666666666666667,0.0057735026918962545,3,0,0.0,0.0,0,0,0,1
Kumberkhani,Maharashtra,WCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Kumda 1 & 2,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Kumda 7 & 8,Chhattisgarh,SECL,0.02,0.02,0.01,0.0,-0.01,0.0,-50.0,0.016666666666666666,0.005773502691896258,3,0,-0.01,-50.0,0,0,0,1
Kunustoria Colliery,West Bengal,ECL,0.1,0.1,0.08,0.0,-0.020000000000000004,0.0,-20.000000000000004,0.09333333333333334,0.011547005383792518,3,0,-0.020000000000000004,-20.000000000000004,0,0,0,1
Kurasia UG,Chhattisgarh,SECL,,0.19,0.2,,0.010000000000000009,,5.263157894736847,0.195,0.007071067811865481,2,0,0.010000000000000009,5.263157894736847,1,0,0,1
Kurasia UG & Kurasia OC,Chhattisgarh,SECL,0.21,,,,,,,0.21,,1,0,,,0,1,1,0
Kurja/Sheetaldhara,Madhya Pradesh,SECL,0.54,0.64,0.78,0.09999999999999998,0.14,18.518518518518512,21.875000000000004,0.6533333333333334,0.12055427546683416,3,0,0.14,21.875000000000004,0,0,0,1
Kusmunda Project,Chhattisgarh,SECL,29.9,43.05,50.13,13.149999999999999,7.080000000000005,43.97993311036789,16.4459930313589,41.026666666666664,10.265653088495313,3,0,7.080000000000005,16.4459930313589,0,0,0,1
Kuya,Jharkhand,BCCL,2.59,2.72,2.8,0.13000000000000034,0.07999999999999963,5.019305019305033,2.9411764705882213,2.703333333333333,0.10598742063723098,3,0,0.07999999999999963,2.9411764705882213,0,0,0,1
Laiyo,Jharkhand,CCL,0.0,0.0,,0.0,,,,0.0,0.0,2,2,,,0,0,1,1
Lajkura OCP,Odisha,MCL,,,4.5,,,,,4.5,,1,0,,,1,1,0,0
Lajkura Ocm,Odisha,MCL,4.5,4.5,,0.0,,0.0,,4.5,0.0,2,0,,,0,0,1,1
Lakhanpur OCP,Odisha,MCL,21.0,22.5,,1.5,,7.142857142857142,,21.75,1.0606601717798212,2,0,,,0,0,1,1
Lakhimata,Jharkhand,ECL,0.04,0.05,0.06,0.010000000000000002,0.009999999999999995,25.000000000000007,19.99999999999999,0.049999999999999996,0.009999999999999998,3,0,0.009999999999999995,19.99999999999999,0,0,0,1
Laxman Project,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Lingaraj OCP,Odisha,MCL,14.46,16.51,17.54,2.0500000000000007,1.0299999999999976,14.177040110650074,6.238643246517247,16.17,1.5678966802694614,3,0,1.0299999999999976,6.238643246517247,0,0,0,1
Lower Kenda Colliery,West Bengal,ECL,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.05000000000000001,8.498374721940739e-18,3,0,0.0,0.0,0,0,0,1
Loyabad,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
MKD-III OC MINE,Maharashtra,WCL,,3.0,,,,,,3.0,,1,0,,,1,0,1,0
Madhabpur & Madhabpur OC (H),West Bengal,ECL,0.02,0.03,,0.009999999999999998,,49.999999999999986,,0.025,0.007071067811865474,2,0,,,0,0,1,1
Madhabpur UG & Madhabpur OC,West Bengal,ECL,,,0.04,,,,,0.04,,1,0,,,1,1,0,0
Madhaipur Colliery,Jharkhand,ECL,0.17,0.07,,-0.1,,-58.82352941176471,,0.12000000000000001,0.07071067811865477,2,0,,,0,0,1,1
Madhaipur UG/Madhaipur OC,West Bengal,ECL,,,0.16,,,,,0.16,,1,0,,,1,1,0,0
Madhuban,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Madhusudanpur 7 Pit & Incline,West Bengal,ECL,,,0.02,,,,,0.02,,1,0,,,1,1,0,0
Madhusudanpur 7 Pit Colliery,West Bengal,ECL,0.05,0.03,,-0.020000000000000004,,-40.00000000000001,,0.04,0.014142135623730954,2,0,,,0,0,1,1
Magadh OCP,Jharkhand,CCL,11.5,15.58,20.0,4.08,4.42,35.47826086956522,28.369704749679077,15.693333333333333,4.251133182262505,3,0,4.42,28.369704749679077,0,0,0,1
Mahadeopuri,Madhya Pradesh,WCL,0.08,0.07,0.03,-0.009999999999999995,-0.04000000000000001,-12.499999999999993,-57.14285714285715,0.060000000000000005,0.026457513110645908,3,0,-0.04000000000000001,-57.14285714285715,0,0,0,1
Mahakali Colliery,Maharashtra,WCL,0.03,0.0,0.0,-0.03,0.0,-100.0,,0.01,0.017320508075688773,3,2,0.0,,0,0,0,1
Mahamaya,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Mahan II,Chhattisgarh,SECL,0.26,,,,,,,0.26,,1,0,,,0,1,1,0
Mahan OC,Chhattisgarh,SECL,0.02,,,,,,,0.02,,1,0,,,0,1,1,0
Maheshpur,Jharkhand,BCCL,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.03,0.0,3,0,0.0,0.0,0,0,0,1
Makardhokra-I,Maharashtra,WCL,3.72,,,,,,,3.72,,1,0,,,0,1,1,0
Makardhokra-I OC Expansion Mine,Maharashtra,WCL,,4.2,4.2,,0.0,,0.0,4.2,0.0,2,0,0.0,0.0,1,0,0,1
Makardhokra-III,Maharashtra,WCL,1.13,,,,,,,1.13,,1,0,,,0,1,1,0
Makardhokra-III OC MINE,Maharashtra,WCL,,,4.43,,,,,4.43,,1,0,,,1,1,0,0
Malga,Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Mandarboni,West Bengal,ECL,,,0.07,,,,,0.07,,1,0,,,1,1,0,0
Mandarboni & South Samla,West Bengal,ECL,0.06,0.06,,0.0,,0.0,,0.06,0.0,2,0,,,0,0,1,1
Manikpur,Chhattisgarh,SECL,4.9,5.25,5.25,0.34999999999999964,0.0,7.142857142857135,0.0,5.133333333333334,0.2020725942163688,3,0,0.0,0.0,0,0,0,1
Manki/Churi,Jharkhand,CCL,0.58,0.71,0.63,0.13,-0.07999999999999996,22.413793103448278,-11.26760563380281,0.64,0.06557438524302,3,0,-0.07999999999999996,-11.26760563380281,0,0,0,1
Manna Incline,Maharashtra,WCL,0.07,0.01,0.0,-0.060000000000000005,-0.01,-85.71428571428571,-100.0,0.02666666666666667,0.03785938897200183,3,1,-0.01,-100.0,0,0,0,1
Manoharpur Coal Mine,Odisha,OCPL,5.25,8.0,8.51,2.75,0.5099999999999998,52.38095238095239,6.374999999999997,7.253333333333333,1.7535772960817362,3,0,0.5099999999999998,6.374999999999997,0,0,0,1
Manuguru Opencast,Telangana,SCCL,,2.1,2.1,,0.0,,0.0,2.1,0.0,2,0,0.0,0.0,1,0,0,1
Manuguru' Opencast,Telangana,SCCL,2.1,,,,,,,2.1,,1,0,,,0,1,1,0
Marki Mangli - I Coal Mine,Maharashtra,TUML,,0.18,0.0,,-0.18,,-100.0,0.09,0.12727922061357855,2,1,-0.18,-100.0,1,0,0,1
Marki Mangli - I Coal Mine of,Maharashtra,TUML,0.24,,,,,,,0.24,,1,0,,,0,1,1,0
Marki Mangli -III,Maharashtra,BSIL,,0.2,0.11,,-0.09000000000000001,,-45.0,0.155,0.06363961030678929,2,0,-0.09000000000000001,-45.0,1,0,0,1
Marki Mangli III,Maharashtra,BSIL,0.13,,,,,,,0.13,,1,0,,,0,1,1,0
Mathani,Madhya Pradesh,WCL,0.07,0.01,0.09,-0.060000000000000005,0.08,-85.71428571428571,800.0,0.056666666666666664,0.041633319989322654,3,0,0.08,800.0,0,0,0,1
"Medpalli OCP,",Telangana,SCCL,0.72,,,,,,,0.72,,1,0,,,0,1,1,0
Meera,Madhya Pradesh,SECL,0.07,0.08,0.08,0.009999999999999995,0.0,14.285714285714276,0.0,0.07666666666666667,0.0057735026918962545,3,0,0.0,0.0,0,0,0,1
Methani Colliery,West Bengal,ECL,0.06,0.05,0.05,-0.009999999999999995,0.0,-16.66666666666666,0.0,0.05333333333333334,0.0057735026918962545,3,0,0.0,0.0,0,0,0,1
Metica Coal Mine,J & K,JKML,0.01,0.0,0.0,-0.01,0.0,-100.0,,0.0033333333333333335,0.005773502691896258,3,2,0.0,,0,0,0,1
Moghla Coal Mine,J & K,JKML,0.01,,,,,,,0.01,,1,0,,,0,1,1,0
Mohan (Mohan OC + Mouri UG),Madhya Pradesh,WCL,0.54,,,,,,,0.54,,1,0,,,0,1,1,0
Mohan (Mohan OC),Madhya Pradesh,WCL,,0.14,0.0,,-0.14,,-100.0,0.07,0.09899494936611666,2,1,-0.14,-100.0,1,0,0,1
Mohan (Mohan UG),Madhya Pradesh,WCL,,0.15,0.04,,-0.10999999999999999,,-73.33333333333333,0.095,0.07778174593052023,2,0,-0.10999999999999999,-73.33333333333333,1,0,0,1
Mohanpur (Expn),West Bengal,ECL,0.77,1.08,2.0,0.31000000000000005,0.9199999999999999,40.25974025974027,85.18518518518518,1.2833333333333334,0.6397134775298495,3,0,0.9199999999999999,85.18518518518518,0,0,0,1
Moher & Moher Amlohri Ext.,Madhya Pradesh,SPL,,,18.28,,,,,18.28,,1,0,,,1,1,0,0
Moher & Moher Amlohri Ext. OCP,Madhya Pradesh,SPL,,16.31,,,,,,16.31,,1,0,,,1,0,1,0
Moher & Moher Amlohri OCP,Madhya Pradesh,SPL,18.04,,,,,,,18.04,,1,0,,,0,1,1,0
Moonidih,Jharkhand,BCCL,0.59,0.55,0.48,-0.039999999999999925,-0.07000000000000006,-6.77966101694914,-12.727272727272737,0.54,0.05567764362830022,3,0,-0.07000000000000006,-12.727272727272737,0,0,0,1
Mudidih,Jharkhand,BCCL,0.0,0.67,0.82,0.67,0.1499999999999999,,22.388059701492523,0.49666666666666665,0.43661577311560024,3,1,0.1499999999999999,22.388059701492523,0,0,0,1
Mungoli Nirguda Extn Deep,Maharashtra,WCL,4.17,,,,,,,4.17,,1,0,,,0,1,1,0
Mungoli OCM,Maharashtra,WCL,,4.31,5.25,,0.9400000000000004,,21.809744779582378,4.779999999999999,0.664680374315355,2,0,0.9400000000000004,21.809744779582378,1,0,0,1
Muraidih OCP,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Murpar,Maharashtra,WCL,0.07,,,,,,,0.07,,1,0,,,0,1,1,0
Murpar UG,Maharashtra,WCL,,0.02,,,,,,0.02,,1,0,,,1,0,1,0
N.C.P.H. Colliery (NEW),Chhattisgarh,SECL,0.3,0.24,0.27,-0.06,0.030000000000000027,-20.0,12.50000000000001,0.27,0.03,3,0,0.030000000000000027,12.50000000000001,0,0,0,1
N.C.P.H. Colliery OLD,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
NAKC,Jharkhand,BCCL,0.5,0.62,0.71,0.12,0.08999999999999997,24.0,14.51612903225806,0.61,0.10535653752852736,3,0,0.08999999999999997,14.51612903225806,0,0,0,1
NEW SWANG COLLY.,Jharkhand,CCL,0.89,1.14,,0.2499999999999999,,28.089887640449422,,1.015,0.1767766952966368,2,0,,,0,0,1,1
NTST-Jeenagora,Jharkhand,BCCL,3.81,6.05,4.77,2.2399999999999998,-1.2800000000000002,58.79265091863516,-21.157024793388434,4.876666666666666,1.1238030669709587,3,0,-1.2800000000000002,-21.157024793388434,0,0,0,1
Naba Kajora Colliery,West Bengal,ECL,0.03,0.0,,-0.03,,-100.0,,0.015,0.021213203435596427,2,1,,,0,0,1,1
Nabakajora Colliery,West Bengal,ECL,,,0.0,,,,,0.0,,1,1,,,1,1,0,0
Naigaon OCM,Maharashtra,WCL,,1.25,1.25,,0.0,,0.0,1.25,0.0,2,0,0.0,0.0,1,0,0,1
Nakrakonda -Kumardihi 'B' UG,West Bengal,ECL,,,1.51,,,,,1.51,,1,0,,,1,1,0,0
Nakrakonda-Kumardihi-B,West Bengal,ECL,0.77,1.77,,1.0,,129.87012987012986,,1.27,0.7071067811865476,2,0,,,0,0,1,1
Nandan-2 UG Mine,Madhya Pradesh,WCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Nandgaon Incline,Maharashtra,WCL,0.08,,0.06,,,,,0.07,0.014142135623730954,2,0,,,0,1,0,1
Nandira Colliery,Odisha,MCL,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.06,0.0,3,0,0.0,0.0,0,0,0,1
Nangaon Incline,Maharashtra,WCL,,0.06,,,,,,0.06,,1,0,,,1,0,1,0
Narsamuda Colliery,West Bengal,ECL,0.03,0.05,0.05,0.020000000000000004,0.0,66.66666666666669,0.0,0.043333333333333335,0.011547005383792516,3,0,0.0,0.0,0,0,0,1
Navapara,Chhattisgarh,SECL,0.1,0.08,0.05,-0.020000000000000004,-0.03,-20.000000000000004,-37.5,0.07666666666666666,0.025166114784235832,3,0,-0.03,-37.5,0,0,0,1
Navgaon,Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Navin Kunada OC (A),Maharashtra,WCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Neelijay OCM,Maharashtra,WCL,,4.45,4.5,,0.04999999999999982,,1.1235955056179736,4.475,0.03535533905932725,2,0,0.04999999999999982,1.1235955056179736,1,0,0,1
Nehariya,Madhya Pradesh,WCL,0.25,0.28,0.25,0.030000000000000027,-0.030000000000000027,12.00000000000001,-10.714285714285724,0.26,0.017320508075688787,3,0,-0.030000000000000027,-10.714285714285724,0,0,0,1
New Amlai,Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
New Godhur-Kusunda-Alkusa,Jharkhand,BCCL,1.02,1.03,1.21,0.010000000000000009,0.17999999999999994,0.980392156862746,17.475728155339798,1.0866666666666667,0.10692676621563624,3,0,0.17999999999999994,17.475728155339798,0,0,0,1
New Kenda,West Bengal,ECL,0.24,,,,,,,0.24,,1,0,,,0,1,1,0
New Kenda Colliery,West Bengal,ECL,,0.01,0.62,,0.61,,6100.0,0.315,0.43133513652379396,2,0,0.61,6100.0,1,0,0,1
New Majri - I(A) & II Extn. (A) OC,Maharashtra,WCL,,,2.5,,,,,2.5,,1,0,,,1,1,0,0
New Majri -II A OC,Maharashtra,WCL,1.67,2.4,,0.73,,43.712574850299404,,2.035,0.5161879502661797,2,0,,,0,0,1,1
New Majri Collery No.3,Maharashtra,WCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
New Majri UG to OC,Maharashtra,WCL,1.93,,,,,,,1.93,,1,0,,,0,1,1,0
New Majri UG to OC Expn.,Maharashtra,WCL,,1.86,1.53,,-0.33000000000000007,,-17.74193548387097,1.695,0.23334523779156074,2,0,-0.33000000000000007,-17.74193548387097,1,0,0,1
New Moghla Coal Mine,J & K,JKML,,0.01,0.01,,0.0,,0.0,0.01,0.0,2,0,0.0,0.0,1,0,0,1
"New Select Dhori,",Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
New Sethia,Madhya Pradesh,WCL,0.05,0.02,,-0.030000000000000002,,-60.0,,0.035,0.021213203435596427,2,0,,,0,0,1,1
Nichitpur,Jharkhand,BCCL,1.73,1.73,1.79,0.0,0.06000000000000005,0.0,3.4682080924855523,1.75,0.03464101615137758,3,0,0.06000000000000005,3.4682080924855523,0,0,0,1
Nigahi Project,Madhya Pradesh,NCL,21.0,22.5,22.5,1.5,0.0,7.142857142857142,0.0,22.0,0.8660254037844386,3,0,0.0,0.0,0,0,0,1
Niljai Expansion Deep,Maharashtra,WCL,3.75,,,,,,,3.75,,1,0,,,0,1,1,0
Nimcha Colliery & Nimcha OC(Amkola)(H),West Bengal,ECL,0.34,0.39,,0.04999999999999999,,14.705882352941172,,0.365,0.03535533905932737,2,0,,,0,0,1,1
"Nimcha Colliery , Nimcha OC (Amkola) & Nimcha Highwall",West Bengal,ECL,,,0.59,,,,,0.59,,1,0,,,1,1,0,0
Ningah Colliery,West Bengal,ECL,0.02,0.02,0.02,0.0,0.0,0.0,0.0,0.02,0.0,3,0,0.0,0.0,0,0,0,1
Ningha (SSI) OC,West Bengal,ECL,,0.02,0.2,,0.18000000000000002,,900.0,0.11,0.12727922061357855,2,0,0.18000000000000002,900.0,1,0,0,1
Nirsha,Jharkhand,ECL,0.22,0.3,0.15,0.07999999999999999,-0.15,36.36363636363636,-50.0,0.22333333333333336,0.07505553499465134,3,0,-0.15,-50.0,0,0,0,1
Noonodih Jitpur Colliery,Jharkhand,IISCO,0.08,,,,,,,0.08,,1,0,,,0,1,1,0
North Chirimiri,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
North Jhagrakhand,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
North Searsole OC Colliery,West Bengal,ECL,0.2,0.37,1.06,0.16999999999999998,0.6900000000000001,84.99999999999999,186.4864864864865,0.5433333333333333,0.45544849690533984,3,0,0.6900000000000001,186.4864864864865,0,0,0,1
North Urimari/Birsa-OC,Jharkhand,CCL,3.6,4.2,4.2,0.6000000000000001,0.0,16.666666666666668,0.0,4.0,0.3464101615137755,3,0,0.0,0.0,0,0,0,1
Nowrozabad (E),Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Nowrozabad (W),Madhya Pradesh,SECL,0.09,0.1,0.1,0.010000000000000009,0.0,11.111111111111121,0.0,0.09666666666666668,0.005773502691896263,3,0,0.0,0.0,0,0,0,1
Orient Colliery 1 & 2,Odisha,MCL,0.23,0.19,,-0.04000000000000001,,-17.39130434782609,,0.21000000000000002,0.02828427124746191,2,0,,,0,0,1,1
Orient Mine No. 1 & 2,Odisha,MCL,,,0.2,,,,,0.2,,1,0,,,1,1,0,0
P.B.Project,Jharkhand,BCCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
PALI,Madhya Pradesh,SECL,0.13,0.11,,-0.020000000000000004,,-15.384615384615389,,0.12,0.014142135623730954,2,0,,,0,0,1,1
"PVK-5 Incline,",Telangana,SCCL,0.21,0.21,,0.0,,0.0,,0.21,0.0,2,0,,,0,0,1,1
Pacchwara North Coal Mine,Jharkhand,WBPDCL,9.04,,,,,,,9.04,,1,0,,,0,1,1,0
Pacchwara North Coal Mine,Jharkhand,WBPDCL_PN,,15.0,13.71,,-1.2899999999999991,,-8.599999999999994,14.355,0.9121677477306457,2,0,-1.2899999999999991,-8.599999999999994,1,0,0,1
Pachhwara Central Coal Mine,Jharkhand,PSPCL,,0.51,4.63,,4.12,,807.8431372549019,2.57,2.9132799384885755,2,0,4.12,807.8431372549019,1,0,0,1
Padampur OC,Maharashtra,WCL,0.19,0.01,,-0.18,,-94.73684210526315,,0.1,0.12727922061357855,2,0,,,0,0,1,1
Padmavathi Khani No.5 Incline,Telangana,SCCL,,,0.21,,,,,0.21,,1,0,,,1,1,0,0
Pakri Barwadih,Jharkhand,NTPC,8.32,,,,,,,8.32,,1,0,,,0,1,1,0
Pakri Barwadih,Jharkhand,NTPC_PB,,13.23,16.31,,3.0799999999999983,,23.280423280423268,14.77,2.177888886054565,2,0,3.0799999999999983,23.280423280423268,1,0,0,1
Pali,Madhya Pradesh,SECL,,,0.09,,,,,0.09,,1,0,,,1,1,0,0
Palkimara,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Pandaveswar UG,West Bengal,ECL,0.08,0.08,0.08,0.0,0.0,0.0,0.0,0.08,0.0,3,0,0.0,0.0,0,0,0,1
Pandavpara Colliery,Chhattisgarh,SECL,0.23,0.22,0.25,-0.010000000000000009,0.03,-4.347826086956525,13.636363636363635,0.2333333333333333,0.015275252316519465,3,0,0.03,13.636363636363635,0,0,0,1
Paoni II OCM,Maharashtra,WCL,3.25,3.25,3.25,0.0,0.0,0.0,0.0,3.25,0.0,3,0,0.0,0.0,0,0,0,1
Paoni OCM,Maharashtra,WCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Parasea Colliery,West Bengal,ECL,0.11,0.11,0.11,0.0,0.0,0.0,0.0,0.11,0.0,3,0,0.0,0.0,0,0,0,1
Parbelia Colliery,West Bengal,ECL,0.05,0.05,0.04,0.0,-0.010000000000000002,0.0,-20.000000000000004,0.04666666666666667,0.005773502691896259,3,0,-0.010000000000000002,-20.000000000000004,0,0,0,1
Parej East OCP,Jharkhand,CCL,0.4,0.42,0.4,0.019999999999999962,-0.019999999999999962,4.99999999999999,-4.761904761904753,0.40666666666666673,0.011547005383792493,3,0,-0.019999999999999962,-4.761904761904753,0,0,0,1
Parsa East and Kanta Basan,Chhattisgarh,RRVUNL,15.0,,,,,,,15.0,,1,0,,,0,1,1,0
Parsa East and Kanta Basan OCM,Chhattisgarh,RRVUNL,,11.8,6.7,,-5.1000000000000005,,-43.22033898305085,9.25,3.606244584051393,2,0,-5.1000000000000005,-43.22033898305085,1,0,0,1
Patansaongi Colliery,Maharashtra,WCL,0.05,0.04,0.04,-0.010000000000000002,0.0,-20.000000000000004,0.0,0.043333333333333335,0.005773502691896258,3,0,0.0,0.0,0,0,0,1
Patmohana Colliery,West Bengal,ECL,0.03,0.04,0.05,0.010000000000000002,0.010000000000000002,33.33333333333334,25.000000000000007,0.04,0.010000000000000002,3,0,0.010000000000000002,25.000000000000007,0,0,0,1
Pawan Incline,Chhattisgarh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Penganga OC,Maharashtra,WCL,6.3,5.71,4.81,-0.5899999999999999,-0.9000000000000004,-9.365079365079364,-15.761821366024526,5.6066666666666665,0.7503554713156515,3,0,-0.9000000000000004,-15.761821366024526,0,0,0,1
Phularitand,Jharkhand,BCCL,0.0,0.0,,0.0,,,,0.0,0.0,2,2,,,0,0,1,1
"Pimpalgaon,",Maharashtra,WCL,0.0,0.0,,0.0,,,,0.0,0.0,2,2,,,0,0,1,1
Pindra Colliery,Jharkhand,CCL,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,3,3,0.0,,0,0,0,1
Pinoura,Madhya Pradesh,SECL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Piparia,Madhya Pradesh,SECL,0.09,0.11,0.08,0.020000000000000004,-0.03,22.222222222222225,-27.27272727272727,0.09333333333333334,0.015275252316519466,3,0,-0.03,-27.27272727272727,0,0,0,1
Piparwar,Jharkhand,CCL,0.0,,,,,,,0.0,,1,1,,,0,1,1,0
Porascol East Colliery,West Bengal,ECL,0.06,0.08,0.07,0.020000000000000004,-0.009999999999999995,33.33333333333334,-12.499999999999993,0.07,0.010000000000000002,3,0,-0.009999999999999995,-12.499999999999993,0,0,0,1
