Mine Name,Company Name,State,District,Coalfield,Area,Mine Type,Ownership,CAAQMS_Source_Name,Environmental_Risk_Score,Environmental_Anomaly,Environmental_Record_Count,Environmental_Available,Producing Mine,Production_ZScore,Production_Anomaly,Data_Sufficient,Operational_Available,Safety_Evidence_Available,Safety_Evidence_Note,Evidence_Coverage,Evidence_Status,Confidence_Score,Confidence_Category,Mine_Type,Peer_Production_ZScore,Peer_Production_Anomaly,Peer_Operational_Risk,Peer_Production_Category,Peer_Production_Direction,Historical_Operational_Risk,Operational_Risk_Score,Safety_Risk_Score,Overall_Risk_Score,Risk_Category,Risk_Drivers,AI_Recommendation,Peer_Context_Explanation,Risk_Score_Type
Kathara Colly,CCL,Jharkhand,BOKARO,E. Bokaro,Kathara,Opencast,PUBLIC,,,0,,0,Kathara Colly.,-0.073367169705444,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.4734160367304058,0,11.835400918260143,Normal,Lower than peer average,1.8341792426361,1.8341792426361,,1.8341792426361,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kathautia Open Cast Coal Mine,HIL,Jharkhand,PALAMU,Daltonganj,Kathautia,Opencast,PRIVATE,,,0,,0,Kathautia Open Cast Coal Mine,-0.1504554600545405,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.5032163834622572,0,12.58040958655643,Normal,Lower than peer average,3.7613865013635124,3.7613865013635124,,3.7613865013635124,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Katkona 1 & 2,SECL,Chhattisgarh,KOREA,Central India,Baikunthpur,Underground,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Underground,0.023917941396944,0,0.5979485349236,Normal,Higher than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kedla (OC),CCL,Jharkhand,RAMGARH,W.Bokaro,Hazaribagh,Opencast,PUBLIC,,,0,,0,Kedla (OC),-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kedla UG,CCL,Jharkhand,RAMGARH,W.Bokaro,Hazaribagh,Underground,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Underground,-0.6287891270464613,0,15.719728176161532,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kerandari,NTPC,Jharkhand,HAZARIBAGH,North Karanpura,Keredari,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.4966502053687984,0,12.41625513421996,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Ketki,SECL,Chhattisgarh,SURGUJA,Central India,Bisrampur,Underground,PUBLIC,,,0,,0,Ketki,-0.1697275326418146,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.5441789515075013,0,13.604473787687532,Normal,Lower than peer average,4.243188316045365,4.243188316045365,,4.243188316045365,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Khadia Project,NCL,Uttar Pradesh,SONBHADRA,Singrauli,Khadia,Opencast,PUBLIC,,,0,,0,Khadia Project,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,0.1761305038994375,0,4.40326259748594,Normal,Higher than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Khairagura OC,SCCL,Telangana,Komaram Bheem,Godavari Valley,Belampalli,Opencast,PUBLIC,,,0,,0,Khairagura OC,0.6011553708491497,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.0529280934377583,0,1.3232023359439582,Normal,Lower than peer average,15.028884271228742,15.028884271228742,,15.028884271228742,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Khairaha,SECL,Madhya Pradesh,SHAHDOL,Central India,Sohagpur,Underground,PUBLIC,,,0,,0,Khairaha,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,2.0213224425131053,1,50.53306106282764,Unusual,Higher than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,Peer production anomaly,No Immediate High-Risk Indicator Detected,Production is higher than peer average compared with the Underground peer group.,Prototype AI risk indicator - not an official regulatory classification
Khandra Colliery,ECL,West Bengal,Bardhaman,Raniganj,Bankola,Underground,PUBLIC,,,0,,0,Khandra Colliery,-0.2082716778163628,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.3538060565448414,0,8.845151413621036,Normal,Lower than peer average,5.20679194540907,5.20679194540907,,5.20679194540907,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kharkharee,BCCL,Jharkhand,DHANBAD,Jharia,Govindpur,Underground,PUBLIC,,,0,,0,Kharkharee,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.6136801671287898,0,15.342004178219746,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Khas Kajora Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kajora,Underground,PUBLIC,,,0,,0,Khas Kajora Colliery,-0.2275437504036369,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.2178254172857986,0,5.445635432144966,Normal,Lower than peer average,5.688593760090923,5.688593760090923,,5.688593760090923,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Khoodia,ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,Underground,PUBLIC,,,0,,0,Khoodia,-0.1697275326418146,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.5532443274581041,0,13.831108186452605,Normal,Lower than peer average,4.243188316045365,4.243188316045365,,4.243188316045365,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Khottadih OCP,ECL,West Bengal,Bardhaman,Raniganj,Pandaveswar,Opencast,PUBLIC,,,0,,0,Khottadih OCP,-0.2853599681654592,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.4713956742401108,0,11.784891856002773,Normal,Lower than peer average,7.13399920413648,7.13399920413648,,7.13399920413648,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Khottadih UG,ECL,West Bengal,Bardhaman,Raniganj,Pandaveswar,Underground,PUBLIC,,,0,,0,Khottadih UG,-0.2179077141099998,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,0.9455644963749004,0,23.639112409372512,Normal,Higher than peer average,5.447692852749995,5.447692852749995,,5.447692852749995,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kistaram OC,SCCL,Telangana,KHAMMAM,Godavari Valley,Kothagudem,Opencast,PUBLIC,,,0,,0,Kistaram OC,0.1868058102227562,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.2232699059007558,0,5.581747647518895,Normal,Lower than peer average,4.6701452555689045,4.6701452555689045,,4.6701452555689045,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
"Kolarpimpri,",WCL,Maharashtra,YAVATMAL,Wardha Valley,Wani North,Opencast,PUBLIC,,,0,,0,"Kolarpimpri,",-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.3369152959798497,0,8.422882399496242,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kolgaon OC,WCL,Maharashtra,YAVATMAL,Wardha,Wani,Opencast,PUBLIC,,,0,,0,Kolgaon OC,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.4505606860589436,0,11.26401715147359,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kondapuram UG,SCCL,Telangana,KHAMMAM,Godavari Valley,Manuguru,Underground,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Underground,-0.2027164573681273,0,5.067911434203182,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Koya Gundem OC II,SCCL,Telangana,KHAMMAM,Godavari Valley,Yellandu,Opencast,PUBLIC,,,0,,0,Koya Gundem OC II,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.1473800398590497,0,3.684500996476244,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Krishnshila OCP,NCL,Uttar Pradesh,SONBHADRA,Singrauli,Krishnshila,Opencast,PUBLIC,,,0,,0,Krishnshila OCP,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.175160024100606,0,4.37900060251515,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kujama,BCCL,Jharkhand,DHANBAD,Jharia,Lodna,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.4520759579266649,0,11.301898948166622,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kuju Colliery,CCL,Jharkhand,RAMGARH,W.Bokaro,Kuju,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kulda OCP Balinga,MCL,Odisha,SUNDARGARH,IB Valley,Basundhara,Opencast,PUBLIC,,,0,,0,Kulda OCP Balinga,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,2.125401489067185,1,53.13503722667963,Unusual,Higher than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,Peer production anomaly,No Immediate High-Risk Indicator Detected,Production is higher than peer average compared with the Opencast peer group.,Prototype AI risk indicator - not an official regulatory classification
Kumardhubi Colliery,ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,Underground,PUBLIC,,,0,,0,Kumardhubi Colliery,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.5683532873757756,0,14.20883218439439,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kumardihi-A Colliery,ECL,West Bengal,Bardhaman,Raniganj,Bankola,Underground,PUBLIC,,,0,,0,Kumardihi-A Colliery,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.35984964051191,0,8.996241012797752,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kumda 7 & 8,SECL,Chhattisgarh,SURGUJA,Central India,Bisrampur,Underground,PUBLIC,,,0,,0,Kumda 7 & 8,-0.2082716778163628,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.5955494152275841,0,14.888735380689605,Normal,Lower than peer average,5.20679194540907,5.20679194540907,,5.20679194540907,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kunustoria Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kunustoria,Underground,PUBLIC,,,0,,0,Kunustoria Colliery,-0.2179077141099998,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.3900675603472529,0,9.75168900868132,Normal,Lower than peer average,5.447692852749995,5.447692852749995,,5.447692852749995,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kurasia UG,SECL,Chhattisgarh,KOREA,Central India,Chirimiri,Underground,PUBLIC,,,0,,0,Kurasia UG,-0.1889996052290887,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.0123435624054674,0,0.3085890601366859,Normal,Lower than peer average,4.7249901307272175,4.7249901307272175,,4.7249901307272175,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kurja/Sheetaldhara/Kapildhara,SECL,Madhya Pradesh,SHAHDOL,Central India,Hasdeo,Underground,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Underground,1.81281879564924,0,45.320469891231,Normal,Higher than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Kusmunda Project,SECL,Chhattisgarh,KORBA,Central India,Kusmunda,Opencast,PUBLIC,,,0,,0,Kusmunda Project,6.623678054372313,1,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,5.803092584682307,1,100.0,Highly Unusual,Higher than peer average,100.0,100.0,,100.0,CRITICAL,"Operational indicator, Peer production anomaly",Priority Inspection / Further Assessment Required,Production is higher than peer average compared with the Opencast peer group.,Prototype AI risk indicator - not an official regulatory classification
Kuya,BCCL,Jharkhand,DHANBAD,Jharia,Bastacolla,Opencast,PUBLIC,,,0,,0,Kuya,-0.1215473511736297,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.1727608436433807,0,4.319021091084519,Normal,Lower than peer average,3.038683779340743,3.038683779340743,,3.038683779340743,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Laiyo UGP,CCL,Jharkhand,RAMGARH,W.Bokaro,Hazaribagh,Underground,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Underground,-0.6287891270464613,0,15.719728176161532,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Lajkura OCP,MCL,Odisha,JHARSUGUDA,IB Valley,IB Valley,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,0.0419026709504633,0,1.047566773761584,Normal,Higher than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Lakhimata,ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,Underground,PUBLIC,,,0,,0,Lakhimata,-0.1889996052290888,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.4505034000179385,0,11.262585000448464,Normal,Lower than peer average,4.72499013072722,4.72499013072722,,4.72499013072722,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Lingaraj OCP,MCL,Odisha,Angul,Talcher,Lingaraj,Opencast,PUBLIC,,,0,,0,Lingaraj OCP,0.7938760967218883,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,1.6884981005408908,0,42.21245251352227,Normal,Higher than peer average,19.846902418047208,19.846902418047208,,19.846902418047208,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Lower Kenda Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kenda,Underground,PUBLIC,,,0,,0,Lower Kenda Colliery,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.4837431118368156,0,12.09357779592039,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Madhaipur,ECL,West Bengal,Bardhaman,Raniganj,Kajora,Mixed,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Mixed,-0.4731008738987806,0,11.827521847469514,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Madhaipur Mixed,ECL,West Bengal,Bardhaman,Raniganj,Pandaveswar,Mixed,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Mixed,-0.3747101710506965,0,9.367754276267414,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Madhusudanpur 7 Pit & Incline,ECL,West Bengal,Bardhaman,Raniganj,Kajora,Underground,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Underground,-0.5743968713428442,0,14.359921783571108,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Magadh OCP,CCL,Jharkhand,CHATRA,N.K.Coalfields,Magadh,Opencast,PUBLIC,,,0,,0,Magadh OCP,4.060492400264852,1,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,1.999128833423748,0,49.97822083559369,Normal,Higher than peer average,100.0,100.0,,100.0,CRITICAL,Operational indicator,Priority Inspection / Further Assessment Required,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Mahadeopuri,WCL,Madhya Pradesh,CHHINDWARA,Pench & Kanhan,Pench,Underground,PUBLIC,,,0,,0,Mahadeopuri,-0.237179786697274,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.5290699915898299,0,13.226749789745748,Normal,Lower than peer average,5.929494667431849,5.929494667431849,,5.929494667431849,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Mahakali Colliery,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,Underground,PUBLIC,,,0,,0,Mahakali Colliery,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.6287891270464613,0,15.719728176161532,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Maheshpur,BCCL,Jharkhand,DHANBAD,Jharia,Govindpur,Underground,PUBLIC,,,0,,0,Maheshpur,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.541157159523967,0,13.528928988099176,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Makardhokra-I OC Expansion Mine,WCL,Maharashtra,NAGPUR,Umrer,Umrer,Opencast,PUBLIC,,,0,,0,Makardhokra-I OC Expansion Mine,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,0.004020874257432,0,0.1005218564358017,Normal,Higher than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Makardhokra-III OC MINE,WCL,Maharashtra,NAGPUR,Umrer,Umrer,Opencast,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Opencast,0.033442403022353,0,0.8360600755588252,Normal,Higher than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Mandarboni,ECL,West Bengal,Bardhaman,Raniganj,Pandaveswar,Underground,PUBLIC,,,0,,0,,,0,,0,0,Mine-level safety evidence unavailable; available accident data is state/year level.,0.0,No Evidence,0.0,Insufficient Evidence,Underground,-0.5290699915898299,0,13.226749789745748,Normal,Lower than peer average,,,,,Insufficient Evidence,No major risk indicator,Insufficient Evidence for Risk Assessment,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Manikpur,SECL,Chhattisgarh,KORBA,Central India,Korba,Opencast,PUBLIC,,,0,,0,Manikpur,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,0.1366071626830416,0,3.415179067076041,Normal,Higher than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Manki/Churi,CCL,Jharkhand,RANCHI,N.K.Coalfields,North Karanpura,Underground,PUBLIC,,,0,,0,Manki/Churi,-0.2757239318718221,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,1.2688962386130689,0,31.72240596532672,Normal,Higher than peer average,6.893098296795552,6.893098296795552,,6.893098296795552,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Manna Incline,WCL,Maharashtra,CHANDRAPUR,Wardha,Chandrapur,Underground,PUBLIC,,,0,,0,Manna Incline,-0.2082716778163628,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Underground,-0.6287891270464613,0,15.719728176161532,Normal,Lower than peer average,5.20679194540907,5.20679194540907,,5.20679194540907,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Manoharpur Coal Mine,OCPL,Odisha,SUNDARGARH,IB Valley,Sundargarh,Opencast,PUBLIC,,,0,,0,Manoharpur Coal Mine,0.2928022094527637,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,0.5481297474250051,0,13.703243685625129,Normal,Higher than peer average,7.320055236319092,7.320055236319092,,7.320055236319092,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
Manuguru Opencast,SCCL,Telangana,KHAMMAM,Godavari Valley,Manuguru,Opencast,PUBLIC,,,0,,0,Manuguru Opencast,-0.1986356415227257,0,True,1,0,Mine-level safety evidence unavailable; available accident data is state/year level.,50.0,Operational Only,60.0,Moderate,Opencast,-0.261151702593787,0,6.528792564844677,Normal,Lower than peer average,4.9658910380681425,4.9658910380681425,,4.9658910380681425,LOW,No major risk indicator,No Immediate High-Risk Indicator Detected,No unusual peer-group production pattern detected.,Prototype AI risk indicator - not an official regulatory classification
