Producing Mine,State,Company,Production_2021_22,Production_2022_23,Production_2023_24,Change_2021_22_to_2022_23,Change_2022_23_to_2023_24,Percentage_Change_21_22_to_22_23,Percentage_Change_22_23_to_23_24,Production_Mean,Production_Std,Observation_Count,Zero_Production_Count,Latest_Production_Change,Latest_Percentage_Change,Production_ZScore,Absolute_Production_ZScore,Production_Anomaly,Production_Change_Direction,Production_Anomaly_Category,Production_Anomaly_Reason,Data_Sufficient
Nirsha,Jharkhand,ECL,0.22,0.3,0.15,0.0799999999999999,-0.15,36.36363636363636,-50.0,0.2233333333333333,0.0750555349946513,3,0,-0.15,-50.0,-0.34317618592728155,0.34317618592728155,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
"Jamadoba Colliery,",Jharkhand,TSLJH,,0.2,0.05,,-0.15,,-75.00000000000001,0.125,0.1060660171779821,2,0,-0.15,-75.00000000000001,-0.34317618592728155,0.34317618592728155,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Amelia (North ) Coal Mine,Madhya Pradesh,JPVL,2.8,3.36,3.92,0.56,0.56,20.000000000000004,16.666666666666668,3.36,0.56,3,0,0.56,16.666666666666668,0.34098239092094923,0.34098239092094923,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Mohan (Mohan OC),Madhya Pradesh,WCL,,0.14,0.0,,-0.14,,-100.0,0.07,0.0989949493661166,2,1,-0.14,-100.0,-0.33354014963364453,0.33354014963364453,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Purnadih,Jharkhand,CCL,0.4,0.73,0.59,0.3299999999999999,-0.14,82.49999999999999,-19.178082191780824,0.5733333333333333,0.1656301099840645,3,0,-0.14,-19.178082191780824,-0.33354014963364453,0.33354014963364453,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Sendra Bansjora,Jharkhand,BCCL,1.21,0.73,0.6,-0.48,-0.13,-39.66942148760331,-17.808219178082194,0.8466666666666667,0.321299444962691,3,0,-0.13,-17.808219178082194,-0.32390411334000746,0.32390411334000746,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
AGKCC,Jharkhand,BCCL,0.03,0.14,0.02,0.11,-0.12,366.66666666666674,-85.71428571428571,0.0633333333333333,0.0665832811847939,3,0,-0.12,-85.71428571428571,-0.3142680770463704,0.3142680770463704,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Ballarpur OCM,Maharashtra,WCL,0.27,0.1,0.63,-0.17,0.53,-62.96296296296296,530.0,0.3333333333333333,0.2706165799305972,3,0,0.53,530.0,0.31207428204003806,0.31207428204003806,0,Increase,Normal,Latest production change is within the normal range of observed production changes.,True
Kalyan Khani-1 Incline,Telangana,SCCL,,0.13,0.02,,-0.11,,-84.61538461538461,0.075,0.0777817459305202,2,0,-0.11,-84.61538461538461,-0.3046320407527333,0.3046320407527333,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
Jambad OCP,West Bengal,ECL,0.3,0.58,0.47,0.2799999999999999,-0.1099999999999999,93.33333333333331,-18.96551724137931,0.4499999999999999,0.1410673597966588,3,0,-0.1099999999999999,-18.96551724137931,-0.3046320407527332,0.3046320407527332,0,Decrease,Normal,Latest production change is within the normal range of observed production changes.,True
