Mine Name,Time_Window,record_count,PM25_mean,PM25_max,PM25_std,PM25_count,PM10_mean,PM10_max,PM10_std,PM10_count,SO2_mean,SO2_max,SO2_std,SO2_count,CO_mean,CO_max,CO_std,CO_count,PM10_missing
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 12:00:00,119,19.727394957983194,26.18,4.099401457382273,119,22.451008403361346,26.14,2.9438489146238798,119,33.707563025210085,42.0,3.060949217566274,119,0.2668067226890756,0.98,0.2215237400642413,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 13:00:00,119,11.968655462184874,20.5,4.752637969425327,119,12.493193277310924,14.78,1.8905428925123604,119,33.95361344537815,42.35,2.721982618374509,119,0.27899159663865547,0.75,0.17670906357378527,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 14:00:00,119,13.818235294117647,20.71,3.718406038827824,119,17.015714285714285,23.17,3.9092228130948614,119,35.4018487394958,43.92,2.944179252092472,119,0.38697478991596634,0.83,0.22689710436502972,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 15:00:00,119,16.720840336134454,23.95,3.307962294538441,119,16.148235294117647,28.42,6.418120883325671,119,35.46991596638656,44.5,3.0352808196105108,119,0.40731092436974786,0.83,0.1509837654253584,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 16:00:00,119,15.657310924369748,20.74,2.735331200309776,119,17.518319327731092,23.42,2.844193108693311,119,34.61310924369748,43.97,3.0574528969026216,119,0.3763865546218487,0.78,0.19319232137439823,119,0
M/s Dipka Expansion Project South Eastern Coal Fields Limited Dipka Area,2026-08-30 17:00:00,1,14.09,14.09,0.0,1,20.21,20.21,0.0,1,38.6,38.6,0.0,1,0.51,0.51,0.0,1,0
SECL GEVRA,2026-08-30 00:00:00,4,33.8,54.6,25.47403907248842,4,60.525,97.29,45.419878540862115,4,10.4775,14.5,7.016724663259918,4,0.885,1.18,0.316912185523582,4,0
SECL GEVRA,2026-08-30 01:00:00,4,33.95,47.2,9.37247743840087,4,61.3575,84.34,16.251193545911228,4,13.3525,14.09,0.5216879654863948,4,0.685,1.0,0.22427661492005807,4,0
SECL GEVRA,2026-08-30 02:00:00,4,32.225,45.0,9.85372180109289,4,58.365,80.61,17.144974968388446,4,13.254999999999999,13.97,0.5519359866264688,4,0.645,0.95,0.23345235059857497,4,0
SECL GEVRA,2026-08-30 03:00:00,4,37.175,53.6,13.114209850387482,4,66.95,95.59,22.854607121249465,4,13.5275,14.45,0.7354080499967341,4,0.765,1.16,0.31458967984768127,4,0
SECL GEVRA,2026-08-30 04:00:00,4,30.975,40.5,10.802893131008934,4,56.185,72.82,18.843369302400955,4,13.185,13.72,0.6039039658753705,4,0.615,0.84,0.25683976846794315,4,0
SECL GEVRA,2026-08-30 05:00:00,4,36.2,42.2,9.96694536957036,4,65.285,75.72,17.323784228626263,4,13.4775,13.81,0.5534964618977546,4,0.74,0.88,0.24055491403558285,4,0
SECL GEVRA,2026-08-30 06:00:00,4,29.175,35.3,5.774296493946253,4,53.1,63.78,10.072699075554015,4,13.0875,13.43,0.32314857264113084,4,0.5725,0.72,0.13889444433333775,4,0
SECL GEVRA,2026-08-30 07:00:00,4,36.825,55.6,17.333854158841884,4,66.3125,98.95,30.157312407883214,4,13.51,14.56,0.9708758932015978,4,0.7525,1.2,0.41467859039662675,4,0
SECL GEVRA,2026-08-30 08:00:00,4,39.6,52.6,14.545789768864392,4,71.2325,93.86,25.34283116912289,4,13.6675,14.39,0.8099948559507438,4,0.82,1.13,0.34621765793596754,4,0
SECL GEVRA,2026-08-30 09:00:00,4,48.45,55.3,5.311936244597318,4,86.6075,98.5,9.204225026222106,4,14.157499999999999,14.54,0.29511297271835824,4,1.0350000000000001,1.2,0.127148207485071,4,0
SECL GEVRA,2026-08-30 10:00:00,4,48.25,53.7,7.4361728507792675,4,86.2175,95.65,12.914728994446612,4,14.145,14.45,0.4154916766113768,4,1.0274999999999999,1.16,0.1795132307101624,4,0
SECL GEVRA,2026-08-30 11:00:00,4,43.825,52.2,11.447379612819697,4,78.565,93.17,19.906421911868872,4,13.9,14.37,0.6401562309311685,4,0.925,1.13,0.27598309126949544,4,0
SECL GEVRA,2026-08-30 12:00:00,4,24.475,31.9,7.8415028321532,4,44.912499999999994,57.83,13.648829925430729,4,12.8225,13.24,0.4371403283462498,4,0.46,0.64,0.19096247449870005,4,0
SECL GEVRA,2026-08-30 13:00:00,4,29.925,43.7,9.880747272684728,4,54.35,78.28,17.144161299598956,4,13.125,13.89,0.5479963503528105,4,0.59,0.92,0.23706539182259398,4,0
SECL GEVRA,2026-08-30 14:00:00,4,43.45,46.4,3.7098966742125463,4,77.8925,83.02,6.428433583178201,4,13.879999999999999,14.04,0.2019900987672415,4,0.915,0.99,0.08888194417315583,4,0
SECL GEVRA,2026-08-30 15:00:00,4,37.85,48.9,9.189305378173767,4,68.16250000000001,87.31,15.945397193756785,4,13.567499999999999,14.18,0.5105797358558861,4,0.78,1.04,0.21648710508172692,4,0
SECL GEVRA,2026-08-30 16:00:00,4,41.5,49.5,8.29939756849857,4,74.47,88.35,14.404686737308797,4,13.7725,14.22,0.46485660871570594,4,0.87,1.06,0.19849433241279207,4,0
SECL GEVRA,2026-08-30 17:00:00,4,41.55,46.3,7.031595361888604,4,74.6175,82.92,12.191008640250676,4,13.772499999999999,14.04,0.39212030466852055,4,0.87,0.98,0.16792855623746666,4,0
SECL GEVRA,2026-08-30 18:00:00,4,30.0,36.3,8.415461959987697,4,54.555,65.47,14.605189716900862,4,13.1325,13.48,0.46942340518271286,4,0.595,0.74,0.1995828983989694,4,0
SECL GEVRA,2026-08-30 19:00:00,4,39.1,54.5,15.126356688464897,4,70.3725,97.2,26.311254087683974,4,13.6375,14.5,0.8459856184750811,4,0.8099999999999999,1.18,0.3645088019056147,4,0
SECL GEVRA,2026-08-30 20:00:00,4,34.5,47.8,10.064458919054381,4,62.385,85.49,17.484035575347015,4,13.379999999999999,14.12,0.5606543795720617,4,0.7025,1.02,0.24116038922951946,4,0
SECL GEVRA,2026-08-30 21:00:00,4,42.625,48.6,5.925298867286501,4,76.445,86.88,10.291285957870704,4,13.8325,14.17,0.3302902763731724,4,0.895,1.04,0.14387494569938158,4,0
SECL GEVRA,2026-08-30 22:00:00,2,38.4,44.5,8.626702730475882,2,69.08,79.71,15.033090168025993,2,13.6,13.94,0.4808326112068521,2,0.7949999999999999,0.94,0.2050609665440987,2,0
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-29 18:00:00,3,3.3966666666666665,3.42,0.0321455025366432,3,22.451008403361346,33.38,6.761141356717856,0,12.313333333333333,13.21,1.009471809083014,3,0.6233333333333334,1.06,0.3789898855290644,3,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-29 19:00:00,3,3.4,3.51,0.10535653752852736,3,22.451008403361346,33.38,6.761141356717856,0,9.143333333333333,9.84,0.6107645481962208,3,0.6733333333333333,0.83,0.13576941236277534,3,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-29 20:00:00,5,3.272,3.43,0.10449880382090507,5,22.451008403361346,33.38,6.761141356717856,0,8.164,8.37,0.15565988564816519,5,0.52,0.88,0.31280984639234105,5,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-29 21:00:00,4,1.645,3.35,1.900114031665819,4,22.451008403361346,33.38,6.761141356717856,0,5.234999999999999,9.1,4.416525783916584,4,8.395,25.43,11.938175460820357,4,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-29 22:00:00,4,2.62,3.6,1.7501999885727346,4,22.451008403361346,33.38,6.761141356717856,0,7.6899999999999995,9.33,2.8770702690989904,4,2.3975,8.87,4.318366782322532,4,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-29 23:00:00,4,2.79,3.72,1.6358076496540375,4,22.451008403361346,33.38,6.761141356717856,0,60.35999999999999,209.92,99.71431358302243,4,6.495,25.36,12.577581908565202,4,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 00:00:00,4,26.555,98.97,48.302105199118046,4,22.451008403361346,33.38,6.761141356717856,0,73.64,270.0,131.0346152739802,4,6.42,25.39,12.64740553104338,4,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 01:00:00,4,3.4775,3.76,0.266380054308376,4,22.451008403361346,33.38,6.761141356717856,0,13.6875,15.75,1.463793587452365,4,0.15000000000000002,0.34,0.1762573875520305,4,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 02:00:00,4,5.4625,14.68,6.373164441625526,4,22.451008403361346,33.38,6.761141356717856,0,13.945,25.97,10.513580107017145,4,32.98,98.67,56.889368954137645,3,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 03:00:00,4,50.91,98.41,54.73874496186408,4,22.451008403361346,33.38,6.761141356717856,0,5.6274999999999995,11.27,6.4980888215946475,4,3.83,8.64,4.4943075106182935,4,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 04:00:00,4,28.0975,98.27,46.78341755722141,4,22.451008403361346,33.38,6.761141356717856,0,14.7725,21.38,9.94284793205649,4,2.045,8.04,3.997211528053025,4,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 05:00:00,3,3.9499999999999997,4.05,0.1646207763315434,3,22.451008403361346,33.38,6.761141356717856,0,16.98,18.07,1.234139376245648,3,0.11333333333333334,0.17,0.09814954576223639,3,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 06:00:00,5,3.636,4.09,0.42311936850019044,5,22.451008403361346,33.38,6.761141356717856,0,15.562000000000001,17.44,1.6765202056641015,5,0.42400000000000004,0.89,0.28840943119114537,5,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 07:00:00,4,3.475,3.81,0.3113947120081951,4,22.451008403361346,33.38,6.761141356717856,0,14.02,15.08,1.0861859877571614,4,0.48750000000000004,0.67,0.3254099977976502,4,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 08:00:00,3,3.67,3.76,0.1558845726811987,3,22.451008403361346,33.38,6.761141356717856,0,15.493333333333334,15.98,0.6539367961304313,3,0.6866666666666666,0.92,0.21733231083604052,3,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 09:00:00,5,61.074,290.84,128.4431005542921,5,22.451008403361346,33.38,6.761141356717856,0,17.262,27.59,5.795728599580902,5,18.908,91.0,40.30148223080635,5,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 10:00:00,4,3.86,3.98,0.10424330514074594,4,22.451008403361346,33.38,6.761141356717856,0,14.145,15.12,0.7007852738178784,4,0.5075000000000001,0.94,0.4276583527381017,4,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 11:00:00,4,3.8025,3.97,0.116440256498057,4,22.451008403361346,33.38,6.761141356717856,0,14.85,15.47,0.5700877125495699,4,0.73,1.53,0.5812629926863284,4,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 12:00:00,4,3.8825,4.08,0.1725060385416503,4,22.451008403361346,33.38,6.761141356717856,0,16.3,17.61,0.926822528858681,4,0.6375000000000001,1.07,0.320767309223784,4,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 13:00:00,4,3.3225,3.58,0.19636275953788537,4,22.451008403361346,33.38,6.761141356717856,0,14.5425,15.17,0.6380373552282551,4,0.5025,0.62,0.13573871960498227,4,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 14:00:00,3,91.01666666666667,270.0,155.01161515619833,3,22.451008403361346,33.38,6.761141356717856,0,14.893333333333333,27.03,11.98787860020835,3,35.39666666666667,91.81,49.31401660109764,3,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 15:00:00,5,3.558,3.89,0.3414234906974037,5,22.451008403361346,33.38,6.761141356717856,0,17.974,19.97,2.3102878608519766,5,0.072,0.19,0.09884331034521253,5,1
South Eastern Coalfields  Limited - AQMS_H_Q,2026-08-30 16:00:00,3,3.8200000000000003,3.95,0.13000000000000017,3,22.451008403361346,33.38,6.761141356717856,0,19.226666666666667,20.04,0.8252474376411794,3,0.08,0.24,0.13856406460551018,3,1
