Mine Name,Company Name,State,District,Coalfield,Area,Type,Production,Mine_Type,Peer_Mean,Peer_Std,Peer_Count,Peer_Production_ZScore,Peer_Production_Anomaly,Peer_Operational_Risk,Peer_Production_Category,Peer_Production_Direction
Pindra Colliery,CCL,Jharkhand,RAMGARH,W.Bokaro,Kuju,OC,0.0,Opencast,4.168157205240175,7.919370943015163,229,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average
Piparia,SECL,Madhya Pradesh,UMARIA,Central India,Johilla,UG,0.081,Underground,0.2080848484848485,0.3309294635266063,165,-0.3840239763801843,0,9.600599409504609,Normal,Lower than peer average
Porascol East Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kajora,UG,0.065,Underground,0.2080848484848485,0.3309294635266063,165,-0.4323726481167328,0,10.809316202918321,Normal,Lower than peer average
Porascol West Colliery,ECL,West Bengal,Bardhaman,Raniganj,Kajora,UG,0.062,Underground,0.2080848484848485,0.3309294635266063,165,-0.4414380240673357,0,11.035950601683393,Normal,Lower than peer average
Prakasham Khani OC,SCCL,Telangana,KHAMMAM,Godavari Valley,Manuguru,OC,10.45,Opencast,4.168157205240175,7.919370943015163,229,0.7932249720289175,0,19.83062430072294,Normal,Higher than peer average
Pundi,CCL,Jharkhand,RAMGARH,W.Bokaro,Kuju,OC,0.0,Opencast,4.168157205240175,7.919370943015163,229,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average
Pure Searsole Colliery,ECL,West Bengal,Bardhaman,Raniganj,Satgram,UG,0.035,Underground,0.2080848484848485,0.3309294635266063,165,-0.5230264076227613,0,13.075660190569034,Normal,Lower than peer average
Purnadih,CCL,Jharkhand,RANCHI,N.K.Coalfields,North Karanpura,OC,0.589,Opencast,4.168157205240175,7.919370943015163,229,-0.4519496852710214,0,11.298742131775535,Normal,Lower than peer average
Rajendra,SECL,Madhya Pradesh,SHAHDOL,Central India,Sohagpur,UG,0.158,Underground,0.2080848484848485,0.3309294635266063,165,-0.15134599364804444,0,3.783649841201111,Normal,Lower than peer average
Rajhara,CCL,Jharkhand,PALAMU,N.K.Coalfields,Rajhara,OC,0.0,Opencast,4.168157205240175,7.919370943015163,229,-0.5263242794450063,0,13.158106986125157,Normal,Lower than peer average
Rajmahal OCP,ECL,Jharkhand,GODDA,Rajmahal,Rajmahal,OC,12.052,Opencast,4.168157205240175,7.919370943015163,229,0.9955137663697047,0,24.88784415924262,Normal,Higher than peer average
Rajnagar RO,SECL,Madhya Pradesh,SHAHDOL,Central India,Hasdeo,UG,0.13,Underground,0.2080848484848485,0.3309294635266063,165,-0.23595616918700438,0,5.898904229675109,Normal,Lower than peer average
Rajpura,ECL,Jharkhand,DHANBAD,Mugma/Salanpur,Mugma,OC,0.076,Opencast,4.168157205240175,7.919370943015163,229,-0.516727557616105,0,12.918188940402626,Normal,Lower than peer average
Rajrappa Project,CCL,Jharkhand,RAMGARH,Rajrappa,Rajrappa,OC,1.303,Opencast,4.168157205240175,7.919370943015163,229,-0.36179100914160695,0,9.044775228540173,Normal,Lower than peer average
Rajur UG,WCL,Maharashtra,YAVATMAL,Wardha Valley,Wani North,UG,0.055,Underground,0.2080848484848485,0.3309294635266063,165,-0.4625905679520757,0,11.564764198801893,Normal,Lower than peer average
Ramagundam OC-I Extn. Ph-II,SCCL,Telangana,PEDDAPALLI,Godavari Valley,Ramagundam-III,OC,5.911,Opencast,4.168157205240175,7.919370943015163,229,0.2200733880633539,0,5.501834701583848,Normal,Higher than peer average
Ramagundam-OC 3 & OC III,SCCL,Telangana,PEDDAPALLI,Godavari Valley,Ramagundam-II,OC,9.5,Opencast,4.168157205240175,7.919370943015163,229,0.6732659491676518,0,16.831648729191294,Normal,Higher than peer average
Ramakrishnapur OC,SCCL,Telangana,MANCHERIAL,Godavari Valley,Mandamari,OC,1.872,Opencast,4.168157205240175,7.919370943015163,229,-0.2899418680804909,0,7.2485467020122725,Normal,Lower than peer average
Ramnagar Colliery,IISCO,West Bengal,PASCHIM BARDHAMAN,Raniganj,Ramnagore,OC,0.075,Opencast,4.168157205240175,7.919370943015163,229,-0.5168538302717484,0,12.92134575679371,Normal,Lower than peer average
Ramnagar Colliery,IISCO,West Bengal,PASCHIM BARDHAMAN,Raniganj,Ramnagore,UG,0.0,Underground,0.2080848484848485,0.3309294635266063,165,-0.6287891270464613,0,15.719728176161532,Normal,Lower than peer average
Rampur Batura,SECL,Madhya Pradesh,SHAHDOL,Central India,Sohagpur,OC,1.216,Opencast,4.168157205240175,7.919370943015163,229,-0.372776730182586,0,9.319418254564651,Normal,Lower than peer average
Raniatari,SECL,Chhattisgarh,KOREA,Central India,Chirimiri,UG,0.48,Underground,0.2080848484848485,0.3309294635266063,165,0.8216710250499948,0,20.54177562624987,Normal,Higher than peer average
Ravindra Khani-5 Incline,SCCL,Telangana,MANCHERIAL,Godavari Valley,Srirampur,UG,0.277,Underground,0.2080848484848485,0.3309294635266063,165,0.2082472523925354,0,5.206181309813385,Normal,Higher than peer average
Ravindra Khani-6 Incline,SCCL,Telangana,MANCHERIAL,Godavari Valley,Srirampur,UG,0.195,Underground,0.2080848484848485,0.3309294635266063,165,-0.03953969025727593,0,0.9884922564318983,Normal,Lower than peer average
"Ravindra Khani-7,Incline",SCCL,Telangana,MANCHERIAL,Godavari Valley,Srirampur,UG,0.339,Underground,0.2080848484848485,0.3309294635266063,165,0.395598355371661,0,9.889958884291525,Normal,Higher than peer average
"Ravindra Khani-New Tech,",SCCL,Telangana,MANCHERIAL,Godavari Valley,Srirampur,UG,0.161,Underground,0.2080848484848485,0.3309294635266063,165,-0.14228061769744157,0,3.557015442436039,Normal,Lower than peer average
Rehar,SECL,Chhattisgarh,SURGUJA,Central India,Bisrampur,UG,0.031,Underground,0.2080848484848485,0.3309294635266063,165,-0.5351135755568984,0,13.37783938892246,Normal,Lower than peer average
Religara,CCL,Jharkhand,HAZARIBAGH,S.K.Coalfields,Argada,OC,0.499,Opencast,4.168157205240175,7.919370943015163,229,-0.4633142242789308,0,11.58285560697327,Normal,Lower than peer average
ROCP/S. Jharia,BCCL,Jharkhand,DHANBAD,Jharia,Bastacolla,OC,2.158,Opencast,4.168157205240175,7.919370943015163,229,-0.2538278885664677,0,6.345697214161692,Normal,Lower than peer average
Rohini,CCL,Jharkhand,RANCHI,N.K.Coalfields,North Karanpura,OC,0.039,Opencast,4.168157205240175,7.919370943015163,229,-0.5213996458749122,0,13.034991146872803,Normal,Lower than peer average
Samleswari OCP,MCL,Odisha,JHARSUGUDA,IB Valley,IB Valley,OC,8.06,Opencast,4.168157205240175,7.919370943015163,229,0.4914333250411016,0,12.28583312602754,Normal,Higher than peer average
Sankarpur Colliery,ECL,West Bengal,Bardhaman,Raniganj,Bankola,UG,0.191,Underground,0.2080848484848485,0.3309294635266063,165,-0.05162685819141308,0,1.2906714547853269,Normal,Lower than peer average
