Year,State,Company,Producing Mine,Production (in MT)
2021-22,West Bengal,ECL,Chora 7&9 Pits Colliery,0.07
2021-22,West Bengal,ECL,Chora 10 Pit Colliery,0.03
2021-22,West Bengal,ECL,Chora Block Incline UG & Shankarpur OC (D) & Banbahal(H),0.36
2021-22,West Bengal,ECL,Siduli Colliery,0.07
2021-22,West Bengal,ECL,C L Jambad Colliery,0.04
2021-22,West Bengal,ECL,Amritnagar Colliery,0.09
2021-22,West Bengal,ECL,Kunustoria Colliery,0.10
2021-22,West Bengal,ECL,Belbaid Colliery,0.05
2021-22,West Bengal,ECL,Parasea Colliery,0.11
2021-22,West Bengal,ECL,Bansra Colliery,0.26
2021-22,West Bengal,ECL,North Searsole OC Colliery,0.20
2021-22,West Bengal,ECL,Nimcha Colliery & Nimcha OC(Amkola)(H),0.34
2021-22,West Bengal,ECL,J. K. Nagar Colliery,0.17
2021-22,West Bengal,ECL,Pure Searsole Colliery,0.04
2021-22,West Bengal,ECL,Satgram Project,0.05
2021-22,West Bengal,ECL,Satgram Incline,0.03
2021-22,West Bengal,ECL,Chapuikhas Colliery,0.02
2021-22,West Bengal,ECL,Kalidaspur Project,0.07
2021-22,West Bengal,ECL,Ningah Colliery,0.02
2021-22,West Bengal,ECL,Bhanora West Block colliery & Bhanora OC patch (H),0.06
2021-22,West Bengal,ECL,Kalipahari OC (H) A,0.08
2021-22,West Bengal,ECL,Bonjemihari (Extn),0.07
2021-22,West Bengal,ECL,Dabor Ph-II & III OC,0.50
2021-22,West Bengal,ECL,Mohanpur (Expn),0.77
2021-22,West Bengal,ECL,Gourangdhi Extn OC,0.29
2021-22,West Bengal,ECL,Gourandi Begunia,1.46
2021-22,West Bengal,ECL,Itapara OC Patch,0.52
2021-22,West Bengal,ECL,Parbelia Colliery,0.05
2021-22,West Bengal,ECL,Chinakuri - III Colliery,0.05
2021-22,West Bengal,ECL,Bejdih Colliery,0.03
2021-22,West Bengal,ECL,Methani Colliery,0.06
2021-22,West Bengal,ECL,Patmohana Colliery,0.03
2021-22,West Bengal,ECL,Dhemomain Incl Colliery,0.02
2021-22,West Bengal,ECL,Dhemomain Pit Colliery,0.02
2021-22,West Bengal,ECL,Narsamuda Colliery,0.03
2021-22,West Bengal,ECL,Dubeswari Colliery,0.07
2021-22,Jharkhand,ECL,Badjna Colliery,0.05
2021-22,Jharkhand,ECL,Hariajam,0.03
2021-22,Jharkhand,ECL,Khoodia,0.00
2021-22,Jharkhand,ECL,Lakhimata,0.04
2021-22,Jharkhand,ECL,Shampur B,0.04
2021-22,Jharkhand,ECL,Kumardhubi Colliery,0.03
2021-22,Jharkhand,ECL,Nirsha,0.22
2021-22,Jharkhand,ECL,Kapasara,0.32
2021-22,Jharkhand,ECL,Rajpura,0.15
2021-22,Jharkhand,ECL,Barmuri,0.41
2021-22,Jharkhand,ECL,Gopinathpur,0.10
2021-22,Jharkhand,ECL,Chapapur-II,0.19
2021-22,Jharkhand,ECL,Shampur A,0.00
2021-22,Jharkhand,ECL,Chitra East OCP,0.99
2021-22,Jharkhand,ECL,Rajmahal OCP,5.47
2021-22,Jharkhand,ECL,Simlong OC (Hired),0.00
2021-22,Jharkhand,ECL,Hura C,0.00
2021-22,Odisha,GMR,Talabira 1 Coal Mine,0.00
2021-22,Chhattisgarh,HIL,Gare Palma IV/4 Coal Mine,0.56
